DateSelect,Latitude,Longitude,Source,Valid
15-Dec-1999 00:00:00,70,0,1,1
31-Jan-2000 00:00:00,69,5,1,1
08-Mar-2000 12:00:00,69,10,1,1
25-Mar-2000 00:00:00,70,10,1,1
31-Mar-2000 06:00:00,69,-5,1,1
15-Dec-2000 06:00:00,60,-50,1,1
04-Feb-2001 18:00:00,62,-5,1,1
05-Feb-2001 12:00:00,65,3,1,1
12-Nov-2001 00:00:00,66,0,1,1
26-Nov-2001 06:00:00,62,-37,1,1
27-Nov-2001 12:00:00,64,-55,1,1
19-Dec-2001 00:00:00,68,-5,1,1
23-Jan-2002 18:00:00,68,14,1,1
22-Feb-2002 00:00:00,63,-30,1,1
23-Feb-2002 06:00:00,67.5,7,1,1
01-Mar-2002 12:00:00,70,0,1,1
04-Mar-2002 06:00:00,63,-35,1,1
30-Jan-2003 06:00:00,65,5,1,1
14-Mar-2003 18:00:00,62,-52,1,1
07-Feb-2004 18:00:00,62,-10,1,1
29-Mar-2004 06:00:00,60,-38,1,1
04-Jan-2005 00:00:00,61,-35,1,1
29-Nov-2005 00:00:00,69,0,1,1
24-Dec-2005 12:00:00,60,-55,1,1
20-Mar-2006 18:00:00,70,0,1,1
03-Mar-2007 12:00:00,60,-35,1,1
21-Jan-2008 12:00:00,60,-50,1,1
02-Mar-2008 06:00:00,58,-38,1,1
04-Mar-2008 00:00:00,70,7,1,1
11-Mar-2008 06:00:00,60,-35,1,1
16-Mar-2008 18:00:00,69,8,1,1
24-Mar-2008 06:00:00,65,0,1,1
19-Nov-2008 00:00:00,70,12,1,1
20-Nov-2008 00:00:00,69,0,1,1
11-Dec-2008 18:00:00,63,-55,1,1
11-Dec-2008 18:00:00,62,-36,1,1
13-Dec-2008 18:00:00,58,-15,1,1
15-Dec-2008 00:00:00,60,-50,1,1
21-Jan-2009 06:00:00,60,-50,1,1
26-Feb-2009 12:00:00,70,0,1,1
02-Mar-2009 12:00:00,61,-32,1,1
07-Mar-2009 06:00:00,59,-40,1,1
